match_id,stage,stage_name,group,venue,kickoff_utc,taipei_date,taipei_time,home_code,home_name,home_flag,away_code,away_name,away_flag,match_url,live_url,live_score_url,share_card_svg,story_card_svg,calendar_ics,share_pack
1,group,Group A,A,Mexico City Stadium,2026-06-11T19:00:00.000Z,2026-06-12,03:00,MEX,Mexico,🇲🇽,RSA,South Africa,🇿🇦,https://ay-worldcup2026.zeabur.app/match/1,https://ay-worldcup2026.zeabur.app/live/mexico-south-africa,https://ay-worldcup2026.zeabur.app/live-score/mexico-south-africa,https://ay-worldcup2026.zeabur.app/match/1/card.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=share_card_svg,https://ay-worldcup2026.zeabur.app/match/1/story.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=story_card_svg,https://ay-worldcup2026.zeabur.app/match/1.ics?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=calendar_ics,https://ay-worldcup2026.zeabur.app/api/public/v1/matches/1/share?timezone=UTC&utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=api_share_pack
2,group,Group A,A,Guadalajara Stadium,2026-06-12T02:00:00.000Z,2026-06-12,10:00,KOR,South Korea,🇰🇷,CZE,Czechia,🇨🇿,https://ay-worldcup2026.zeabur.app/match/2,https://ay-worldcup2026.zeabur.app/live/south-korea-czechia,https://ay-worldcup2026.zeabur.app/live-score/south-korea-czechia,https://ay-worldcup2026.zeabur.app/match/2/card.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=share_card_svg,https://ay-worldcup2026.zeabur.app/match/2/story.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=story_card_svg,https://ay-worldcup2026.zeabur.app/match/2.ics?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=calendar_ics,https://ay-worldcup2026.zeabur.app/api/public/v1/matches/2/share?timezone=UTC&utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=api_share_pack
3,group,Group B,B,Toronto Stadium,2026-06-12T19:00:00.000Z,2026-06-13,03:00,CAN,Canada,🇨🇦,BIH,Bosnia & Herzegovina,🇧🇦,https://ay-worldcup2026.zeabur.app/match/3,https://ay-worldcup2026.zeabur.app/live/canada-bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/live-score/canada-bosnia-and-herzegovina,https://ay-worldcup2026.zeabur.app/match/3/card.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=share_card_svg,https://ay-worldcup2026.zeabur.app/match/3/story.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=story_card_svg,https://ay-worldcup2026.zeabur.app/match/3.ics?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=calendar_ics,https://ay-worldcup2026.zeabur.app/api/public/v1/matches/3/share?timezone=UTC&utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=api_share_pack
4,group,Group D,D,Los Angeles Stadium,2026-06-13T01:00:00.000Z,2026-06-13,09:00,USA,United States,🇺🇸,PAR,Paraguay,🇵🇾,https://ay-worldcup2026.zeabur.app/match/4,https://ay-worldcup2026.zeabur.app/live/usa-paraguay,https://ay-worldcup2026.zeabur.app/live-score/usa-paraguay,https://ay-worldcup2026.zeabur.app/match/4/card.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=share_card_svg,https://ay-worldcup2026.zeabur.app/match/4/story.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=story_card_svg,https://ay-worldcup2026.zeabur.app/match/4.ics?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=calendar_ics,https://ay-worldcup2026.zeabur.app/api/public/v1/matches/4/share?timezone=UTC&utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=api_share_pack
5,group,Group C,C,Boston Stadium,2026-06-14T01:00:00.000Z,2026-06-14,09:00,HAI,Haiti,🇭🇹,SCO,Scotland,🏴󠁧󠁢󠁳󠁣󠁴󠁿,https://ay-worldcup2026.zeabur.app/match/5,https://ay-worldcup2026.zeabur.app/live/haiti-scotland,https://ay-worldcup2026.zeabur.app/live-score/haiti-scotland,https://ay-worldcup2026.zeabur.app/match/5/card.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=share_card_svg,https://ay-worldcup2026.zeabur.app/match/5/story.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=story_card_svg,https://ay-worldcup2026.zeabur.app/match/5.ics?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=calendar_ics,https://ay-worldcup2026.zeabur.app/api/public/v1/matches/5/share?timezone=UTC&utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=api_share_pack
6,group,Group D,D,BC Place Vancouver,2026-06-14T04:00:00.000Z,2026-06-14,12:00,AUS,Australia,🇦🇺,TUR,Türkiye,🇹🇷,https://ay-worldcup2026.zeabur.app/match/6,https://ay-worldcup2026.zeabur.app/live/australia-turkiye,https://ay-worldcup2026.zeabur.app/live-score/australia-turkiye,https://ay-worldcup2026.zeabur.app/match/6/card.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=share_card_svg,https://ay-worldcup2026.zeabur.app/match/6/story.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=story_card_svg,https://ay-worldcup2026.zeabur.app/match/6.ics?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=calendar_ics,https://ay-worldcup2026.zeabur.app/api/public/v1/matches/6/share?timezone=UTC&utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=api_share_pack
7,group,Group C,C,New York/New Jersey Stadium,2026-06-13T22:00:00.000Z,2026-06-14,06:00,BRA,Brazil,🇧🇷,MAR,Morocco,🇲🇦,https://ay-worldcup2026.zeabur.app/match/7,https://ay-worldcup2026.zeabur.app/live/brazil-morocco,https://ay-worldcup2026.zeabur.app/live-score/brazil-morocco,https://ay-worldcup2026.zeabur.app/match/7/card.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=share_card_svg,https://ay-worldcup2026.zeabur.app/match/7/story.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=story_card_svg,https://ay-worldcup2026.zeabur.app/match/7.ics?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=calendar_ics,https://ay-worldcup2026.zeabur.app/api/public/v1/matches/7/share?timezone=UTC&utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=api_share_pack
8,group,Group B,B,San Francisco Bay Area Stadium,2026-06-13T19:00:00.000Z,2026-06-14,03:00,QAT,Qatar,🇶🇦,SUI,Switzerland,🇨🇭,https://ay-worldcup2026.zeabur.app/match/8,https://ay-worldcup2026.zeabur.app/live/qatar-switzerland,https://ay-worldcup2026.zeabur.app/live-score/qatar-switzerland,https://ay-worldcup2026.zeabur.app/match/8/card.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=share_card_svg,https://ay-worldcup2026.zeabur.app/match/8/story.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=story_card_svg,https://ay-worldcup2026.zeabur.app/match/8.ics?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=calendar_ics,https://ay-worldcup2026.zeabur.app/api/public/v1/matches/8/share?timezone=UTC&utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=api_share_pack
9,group,Group E,E,Philadelphia Stadium,2026-06-14T23:00:00.000Z,2026-06-15,07:00,CIV,Côte d’Ivoire,🇨🇮,ECU,Ecuador,🇪🇨,https://ay-worldcup2026.zeabur.app/match/9,https://ay-worldcup2026.zeabur.app/live/cote-d-ivoire-ecuador,https://ay-worldcup2026.zeabur.app/live-score/cote-d-ivoire-ecuador,https://ay-worldcup2026.zeabur.app/match/9/card.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=share_card_svg,https://ay-worldcup2026.zeabur.app/match/9/story.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=story_card_svg,https://ay-worldcup2026.zeabur.app/match/9.ics?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=calendar_ics,https://ay-worldcup2026.zeabur.app/api/public/v1/matches/9/share?timezone=UTC&utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=api_share_pack
10,group,Group E,E,Houston Stadium,2026-06-14T17:00:00.000Z,2026-06-15,01:00,GER,Germany,🇩🇪,CUW,Curaçao,🇨🇼,https://ay-worldcup2026.zeabur.app/match/10,https://ay-worldcup2026.zeabur.app/live/germany-curacao,https://ay-worldcup2026.zeabur.app/live-score/germany-curacao,https://ay-worldcup2026.zeabur.app/match/10/card.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=share_card_svg,https://ay-worldcup2026.zeabur.app/match/10/story.svg?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=story_card_svg,https://ay-worldcup2026.zeabur.app/match/10.ics?utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=calendar_ics,https://ay-worldcup2026.zeabur.app/api/public/v1/matches/10/share?timezone=UTC&utm_source=public_api&utm_medium=developer_referral&utm_campaign=wc26_public_api&utm_content=api_share_pack
