away_score,clear_chances,corners,data_source,date,fotmob_match_id,fouls,ground_duels_won,ground_duels_won_pct,home_score,last_updated,match_id,opposition_half_passes,possession_pct,red_cards,shots_on_target,status,successful_dribbles,successful_dribbles_pct,team,team_id,total_shots,touches_in_opposition_box,utc_time,xg
0,2.0,3.0,fotmob-parse-bot,2026-06-11,4667751,12.0,32.0,55.0,2,2026-06-28,1,188.0,60.0,1.0,4.0,Completed,9.0,60.0,Mexico,1,16.0,20.0,2026-06-11T19:00:00.000Z,1.46
0,0.0,1.0,fotmob-parse-bot,2026-06-11,4667751,11.0,26.0,45.0,2,2026-06-28,1,74.0,40.0,2.0,2.0,Completed,1.0,17.0,South Africa,2,3.0,2.0,2026-06-11T19:00:00.000Z,0.07
1,4.0,4.0,fotmob-parse-bot,2026-06-12,4667752,9.0,29.0,57.0,2,2026-06-28,2,256.0,62.0,0.0,6.0,Completed,8.0,57.0,South Korea,3,15.0,24.0,2026-06-12T02:00:00.000Z,2.3
1,1.0,5.0,fotmob-parse-bot,2026-06-12,4667752,16.0,22.0,43.0,2,2026-06-28,2,131.0,38.0,0.0,4.0,Completed,4.0,57.0,Czech Republic,4,7.0,12.0,2026-06-12T02:00:00.000Z,0.83
1,2.0,9.0,fotmob-parse-bot,2026-06-12,4667757,10.0,50.0,58.0,1,2026-06-28,3,183.0,61.0,0.0,4.0,Completed,7.0,50.0,Canada,5,13.0,37.0,2026-06-12T19:00:00.000Z,1.23
1,2.0,4.0,fotmob-parse-bot,2026-06-12,4667757,20.0,36.0,42.0,1,2026-06-28,3,80.0,39.0,0.0,3.0,Completed,6.0,26.0,Bosnia and Herzegovina,6,8.0,15.0,2026-06-12T19:00:00.000Z,0.96
1,4.0,3.0,fotmob-parse-bot,2026-06-13,4667771,13.0,47.0,55.0,4,2026-06-28,4,277.0,65.0,0.0,6.0,Completed,22.0,63.0,United States,13,16.0,53.0,2026-06-13T01:00:00.000Z,1.42
1,1.0,1.0,fotmob-parse-bot,2026-06-13,4667771,17.0,39.0,45.0,4,2026-06-28,4,68.0,35.0,0.0,1.0,Completed,6.0,60.0,Paraguay,14,9.0,11.0,2026-06-13T01:00:00.000Z,0.54
1,1.0,3.0,fotmob-parse-bot,2026-06-13,4667758,12.0,26.0,49.0,1,2026-06-28,5,68.0,32.0,0.0,3.0,Completed,2.0,50.0,Qatar,7,6.0,8.0,2026-06-13T19:00:00.000Z,0.6
1,6.0,10.0,fotmob-parse-bot,2026-06-13,4667758,11.0,27.0,51.0,1,2026-06-28,5,368.0,68.0,0.0,7.0,Completed,7.0,54.0,Switzerland,8,26.0,42.0,2026-06-13T19:00:00.000Z,3.2
